air_pressure_9am;air_temp_9am;avg_wind_speed_9am;relative_humidity_9am;relative_humidity_3pm;HumidityClass;Binary Class
925;68;15;11;9;0;A
920;67;21;13;8;0;A
927;63;15;11;11;0;A
917;74;3;13;12;0;A
921;53;5;19;19;1;A
917;80;1;13;18;1;A
922;58;2;24;24;1;A
916;79;3;18;19;1;A
924;63;5;29;20;1;A
924;72;5;16;16;1;A
917;62;2;21;21;1;A
917;58;6;26;41;2;B
917;71;1;39;50;2;B
916;73;3;20;38;2;B
917;44;8;92;89;3;B
917;64;3;23;52;3;B
917;45;10;92;90;3;B
919;68;2;35;55;3;B
922;48;3;88;79;3;B
912;43;2;90;82;3;B
